sepal length,sepal width,petal length,petal width,classification,Predict classification
6.0,3.0,4.8,1.8,Iris-virginica,Iris-virginica
4.8,3.1,1.6,0.2,Iris-setosa,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor,Iris-versicolor
4.8,3.0,1.4,0.3,Iris-setosa,Iris-setosa
6.5,3.2,5.1,2.0,Iris-virginica,Iris-virginica
4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
7.9,3.8,6.4,2.0,Iris-virginica,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica,Iris-virginica
5.6,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
6.7,3.1,5.6,2.4,Iris-virginica,Iris-virginica
5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor,Iris-virginica
6.5,2.8,4.6,1.5,Iris-versicolor,Iris-virginica
6.7,3.1,4.7,1.5,Iris-versicolor,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor,Iris-versicolor
5.5,4.2,1.4,0.2,Iris-setosa,Iris-setosa
6.0,2.2,4.0,1.0,Iris-versicolor,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor,Iris-versicolor
7.7,2.8,6.7,2.0,Iris-virginica,Iris-virginica
5.0,3.0,1.6,0.2,Iris-setosa,Iris-setosa
6.4,2.7,5.3,1.9,Iris-virginica,Iris-virginica
6.7,3.1,4.4,1.4,Iris-versicolor,Iris-versicolor
6.9,3.2,5.7,2.3,Iris-virginica,Iris-virginica
5.2,3.4,1.4,0.2,Iris-setosa,Iris-setosa
7.2,3.2,6.0,1.8,Iris-virginica,Iris-virginica
5.3,3.7,1.5,0.2,Iris-setosa,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa,Iris-setosa
6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
5.0,3.3,1.4,0.2,Iris-setosa,Iris-setosa
